Season,Matchday,Date,Time,Home Team,Away Team,Result,Home Goals,Away Goals,Status,Match URL
2025,31,,5:25 PM,Džiugas,Sūduva,-:-,,,scheduled,
2025,32,10/22/25,5:30 PM,FA Šiauliai,Banga,-:-,,,scheduled,
2025,32,,6:00 PM,Panevėžys,Riteriai,-:-,,,scheduled,
2025,32,,7:00 PM,Kauno Žalgiris,Žalgiris,-:-,,,scheduled,
2025,32,10/23/25,5:30 PM,Hegelmann,Džiugas,-:-,,,scheduled,
2025,32,,6:00 PM,Sūduva,DFK Dainava,-:-,,,scheduled,
2025,33,10/26/25,1:00 PM,Žalgiris,FA Šiauliai,-:-,,,scheduled,
2025,33,,3:30 PM,DFK Dainava,Hegelmann,-:-,,,scheduled,
2025,33,,5:25 PM,Džiugas,Panevėžys,-:-,,,scheduled,
2025,33,10/27/25,6:00 PM,Sūduva,Kauno Žalgiris,-:-,,,scheduled,
2025,33,,,Riteriai,Banga,-:-,,,scheduled,
2025,34,9/26/25,5:30 PM,Banga,Džiugas,0:1,0,1,played,https://www.transfermarkt.com/fk-banga-gargzdai_fc-dziugas-telsiai/index/spielbericht/4720310
2025,34,9/27/25,3:00 PM,FA Šiauliai,Riteriai,2:1,2,1,played,https://www.transfermarkt.com/fa-siauliai_fk-riteriai/index/spielbericht/4720312
2025,34,9/29/25,6:00 PM,Sūduva,Žalgiris,-:-,,,scheduled,
2025,34,10/1/25,6:00 PM,Panevėžys,DFK Dainava,-:-,,,scheduled,
2025,34,,,Hegelmann,Kauno Žalgiris,-:-,,,scheduled,
2025,35,11/2/25,5:25 PM,Sūduva,FA Šiauliai,-:-,,,scheduled,
2025,35,,,Žalgiris,Hegelmann,-:-,,,scheduled,
2025,35,,,Kauno Žalgiris,Panevėžys,-:-,,,scheduled,
2025,35,,,Banga,DFK Dainava,-:-,,,scheduled,
2025,35,,,Džiugas,Riteriai,-:-,,,scheduled,
2025,36,11/8/25,5:25 PM,FA Šiauliai,Džiugas,-:-,,,scheduled,
2025,36,,,DFK Dainava,Riteriai,-:-,,,scheduled,
2025,36,,,Kauno Žalgiris,Banga,-:-,,,scheduled,
2025,36,,,Panevėžys,Žalgiris,-:-,,,scheduled,
2025,36,,,Hegelmann,Sūduva,-:-,,,scheduled,
